implementation,matrix,t_allocation,t_io,t_sorting,t_spmv
cpu,1138_bus,0.000024,0.000219,0.000428,0.000010
cpu,bcsstk15,0.000573,0.006498,0.095666,0.000217
cpu,bcsstk31,0.003679,0.028885,2.911925,0.002505
cpu,pwtk,0.000000,0.000000,0.000000,0.000000
cpu,cage15,0.000000,0.000000,0.000000,0.000000
cpu,heart1,0.000000,0.000000,0.000000,0.000000
cpu,relat8,0.000000,0.000000,0.000000,0.000000
cpu,connectus,0.000000,0.000000,0.000000,0.000000
gpu,1138_bus,0.005165,0.000173,0.000687,0.000019
gpu,bcsstk15,0.001889,0.006355,0.271288,0.000090
gpu,bcsstk31,0.008431,0.029741,8.254520,0.000177
gpu,pwtk,0.000000,0.000000,0.000000,0.000000
gpu,cage15,0.000000,0.000000,0.000000,0.000000
gpu,heart1,0.000000,0.000000,0.000000,0.000000
gpu,relat8,0.000000,0.000000,0.000000,0.000000
gpu,connectus,0.000000,0.000000,0.000000,0.000000
gpu_sort,1138_bus,0.000512,0.000205,0.683419,0.000021
gpu_sort,bcsstk15,0.001754,0.006106,0.676978,0.000092
gpu_sort,bcsstk31,0.032274,0.026344,0.667694,0.000213
gpu_sort,pwtk,0.059379,0.580847,0.544474,0.002188
gpu_sort,cage15,0.830223,13.418595,2.431378,0.018151
gpu_sort,heart1,0.015117,0.140950,0.389250,0.001501
gpu_sort,relat8,0.013037,0.071301,0.450110,0.000082
gpu_sort,connectus,0.012680,0.046718,0.471861,0.043647
gpu_nz,1138_bus,0.000501,0.000210,0.817508,0.000030
gpu_nz,bcsstk15,0.001733,0.006142,0.810766,0.000253
gpu_nz,bcsstk31,0.007721,0.026444,0.786804,0.001956
gpu_nz,pwtk,0.061938,2.405817,0.466650,0.018941
gpu_nz,cage15,0.832191,26.541422,2.508805,0.149580
gpu_nz,heart1,0.015465,0.402546,0.300904,0.002757
gpu_nz,relat8,0.014164,0.372918,0.283421,0.002143
gpu_nz,connectus,0.013301,0.259562,0.394083,0.002405
gpu_warp,1138_bus,0.000525,0.000220,0.460729,0.000107
gpu_warp,bcsstk15,0.001835,0.006123,0.464897,0.000494
gpu_warp,bcsstk31,0.016549,0.027112,0.465078,0.004570
gpu_warp,pwtk,0.058736,0.585003,0.527389,0.025230
gpu_warp,cage15,0.822257,8.136097,2.397466,0.513310
gpu_warp,heart1,0.015024,0.142641,0.394494,0.001788
gpu_warp,relat8,0.013091,0.069200,0.276133,0.026740
gpu_warp,connectus,0.012864,0.047549,0.472018,0.001481
